City,Year_Month,Price
"New York, NY",1996-04,111.0
"New York, NY",1996-05,112.0
"New York, NY",1996-06,112.0
"New York, NY",1996-07,112.0
"New York, NY",1996-08,112.0
"New York, NY",1996-09,112.0
"New York, NY",1996-10,113.0
"New York, NY",1996-11,113.0
"New York, NY",1996-12,113.0
"New York, NY",1997-01,114.0
"New York, NY",1997-02,114.0
"New York, NY",1997-03,114.0
"New York, NY",1997-04,114.0
"New York, NY",1997-05,115.0
"New York, NY",1997-06,115.0
"New York, NY",1997-07,115.0
"New York, NY",1997-08,116.0
"New York, NY",1997-09,116.0
"New York, NY",1997-10,117.0
"New York, NY",1997-11,118.0
"New York, NY",1997-12,119.0
"New York, NY",1998-01,120.0
"New York, NY",1998-02,120.0
"New York, NY",1998-03,120.0
"New York, NY",1998-04,121.0
"New York, NY",1998-05,122.0
"New York, NY",1998-06,123.0
"New York, NY",1998-07,123.0
"New York, NY",1998-08,124.0
"New York, NY",1998-09,125.0
"New York, NY",1998-10,126.0
"New York, NY",1998-11,127.0
"New York, NY",1998-12,128.0
"New York, NY",1999-01,129.0
"New York, NY",1999-02,130.0
"New York, NY",1999-03,131.0
"New York, NY",1999-04,132.0
"New York, NY",1999-05,134.0
"New York, NY",1999-06,135.0
"New York, NY",1999-07,137.0
"New York, NY",1999-08,138.0
"New York, NY",1999-09,139.0
"New York, NY",1999-10,141.0
"New York, NY",1999-11,142.0
"New York, NY",1999-12,143.0
"New York, NY",2000-01,144.0
"New York, NY",2000-02,146.0
"New York, NY",2000-03,147.0
"New York, NY",2000-04,149.0
"New York, NY",2000-05,150.0
"New York, NY",2000-06,152.0
"New York, NY",2000-07,154.0
"New York, NY",2000-08,155.0
"New York, NY",2000-09,157.0
"New York, NY",2000-10,159.0
"New York, NY",2000-11,161.0
"New York, NY",2000-12,163.0
"New York, NY",2001-01,165.0
"New York, NY",2001-02,166.0
"New York, NY",2001-03,168.0
"New York, NY",2001-04,170.0
"New York, NY",2001-05,172.0
"New York, NY",2001-06,174.0
"New York, NY",2001-07,176.0
"New York, NY",2001-08,177.0
"New York, NY",2001-09,179.0
"New York, NY",2001-10,180.0
"New York, NY",2001-11,182.0
"New York, NY",2001-12,185.0
"New York, NY",2002-01,187.0
"New York, NY",2002-02,188.0
"New York, NY",2002-03,185.0
"New York, NY",2002-04,183.0
"New York, NY",2002-05,183.0
"New York, NY",2002-06,183.0
"New York, NY",2002-07,183.0
"New York, NY",2002-08,185.0
"New York, NY",2002-09,186.0
"New York, NY",2002-10,187.0
"New York, NY",2002-11,188.0
"New York, NY",2002-12,189.0
"New York, NY",2003-01,189.0
"New York, NY",2003-02,196.0
"New York, NY",2003-03,207.0
"New York, NY",2003-04,213.0
"New York, NY",2003-05,215.0
"New York, NY",2003-06,219.0
"New York, NY",2003-07,223.0
"New York, NY",2003-08,226.0
"New York, NY",2003-09,228.0
"New York, NY",2003-10,231.0
"New York, NY",2003-11,234.0
"New York, NY",2003-12,238.0
"New York, NY",2004-01,242.0
"New York, NY",2004-02,244.0
"New York, NY",2004-03,246.0
"New York, NY",2004-04,249.0
"New York, NY",2004-05,254.0
"New York, NY",2004-06,258.0
"New York, NY",2004-07,262.0
"New York, NY",2004-08,266.0
"New York, NY",2004-09,270.0
"New York, NY",2004-10,275.0
"New York, NY",2004-11,280.0
"New York, NY",2004-12,285.0
"New York, NY",2005-01,289.0
"New York, NY",2005-02,292.0
"New York, NY",2005-03,295.0
"New York, NY",2005-04,299.0
"New York, NY",2005-05,303.0
"New York, NY",2005-06,307.0
"New York, NY",2005-07,311.0
"New York, NY",2005-08,315.0
"New York, NY",2005-09,320.0
"New York, NY",2005-10,324.0
"New York, NY",2005-11,328.0
"New York, NY",2005-12,332.0
"New York, NY",2006-01,336.0
"New York, NY",2006-02,337.0
"New York, NY",2006-03,337.0
"New York, NY",2006-04,339.0
"New York, NY",2006-05,342.0
"New York, NY",2006-06,344.0
"New York, NY",2006-07,346.0
"New York, NY",2006-08,349.0
"New York, NY",2006-09,349.0
"New York, NY",2006-10,348.0
"New York, NY",2006-11,345.0
"New York, NY",2006-12,344.0
"New York, NY",2007-01,343.0
"New York, NY",2007-02,344.0
"New York, NY",2007-03,345.0
"New York, NY",2007-04,346.0
"New York, NY",2007-05,346.0
"New York, NY",2007-06,345.0
"New York, NY",2007-07,343.0
"New York, NY",2007-08,342.0
"New York, NY",2007-09,341.0
"New York, NY",2007-10,340.0
"New York, NY",2007-11,339.0
"New York, NY",2007-12,338.0
"New York, NY",2008-01,337.0
"New York, NY",2008-02,336.0
"New York, NY",2008-03,334.0
"New York, NY",2008-04,332.0
"New York, NY",2008-05,328.0
"New York, NY",2008-06,325.0
"New York, NY",2008-07,322.0
"New York, NY",2008-08,319.0
"New York, NY",2008-09,317.0
"New York, NY",2008-10,314.0
"New York, NY",2008-11,311.0
"New York, NY",2008-12,309.0
"New York, NY",2009-01,306.0
"New York, NY",2009-02,303.0
"New York, NY",2009-03,301.0
"New York, NY",2009-04,298.0
"New York, NY",2009-05,295.0
"New York, NY",2009-06,292.0
"New York, NY",2009-07,290.0
"New York, NY",2009-08,290.0
"New York, NY",2009-09,289.0
"New York, NY",2009-10,290.0
"New York, NY",2009-11,291.0
"New York, NY",2009-12,293.0
"New York, NY",2010-01,294.0
"New York, NY",2010-02,292.0
"New York, NY",2010-03,290.0
"New York, NY",2010-04,289.0
"New York, NY",2010-05,288.0
"New York, NY",2010-06,289.0
"New York, NY",2010-07,290.0
"New York, NY",2010-08,289.0
"New York, NY",2010-09,286.0
"New York, NY",2010-10,285.0
"New York, NY",2010-11,282.0
"New York, NY",2010-12,281.0
"New York, NY",2011-01,280.0
"New York, NY",2011-02,281.0
"New York, NY",2011-03,281.0
"New York, NY",2011-04,282.0
"New York, NY",2011-05,282.0
"New York, NY",2011-06,282.0
"New York, NY",2011-07,281.0
"New York, NY",2011-08,281.0
"New York, NY",2011-09,281.0
"New York, NY",2011-10,282.0
"New York, NY",2011-11,281.0
"New York, NY",2011-12,280.0
"New York, NY",2012-01,280.0
"New York, NY",2012-02,280.0
"New York, NY",2012-03,280.0
"New York, NY",2012-04,280.0
