year,stock,stock_short,stock_long,price,type,rank
1996,"Seattle, WA","Seattle, WA","Seattle, WA",5.003875969,property,4
1996,"Boston, MA","Boston, MA","Boston, MA",5.203791469,property,3
1996,"Washington, DC","Washington, DC","Washington, DC",5.533479693,property,2
1996,"Oakland, CA","Oakland, CA","Oakland, CA",5.593939394,property,1
1996,"San Francisco, CA","San Francisco, CA","San Francisco, CA",5.78021978,property,0
1997,"Seattle, WA","Seattle, WA","Seattle, WA",3.147255689,property,4
1997,"Boston, MA","Boston, MA","Boston, MA",3.152260111,property,3
1997,"San Francisco, CA","San Francisco, CA","San Francisco, CA",3.550147493,property,2
1997,"Washington, DC","Washington, DC","Washington, DC",3.742629482,property,1
1997,"Oakland, CA","Oakland, CA","Oakland, CA",3.761487965,property,0
1998,"Seattle, WA","Seattle, WA","Seattle, WA",2.638285379,property,4
1998,"Los Angeles, CA","Los Angeles, CA","Los Angeles, CA",2.663888889,property,3
1998,"San Francisco, CA","San Francisco, CA","San Francisco, CA",2.912492074,property,2
1998,"Oakland, CA","Oakland, CA","Oakland, CA",3.360721443,property,1
1998,"Washington, DC","Washington, DC","Washington, DC",3.557427259,property,0
1999,"Seattle, WA","Seattle, WA","Seattle, WA",2.227083333,property,4
1999,"San Francisco, CA","San Francisco, CA","San Francisco, CA",2.314531292,property,3
1999,"Los Angeles, CA","Los Angeles, CA","Los Angeles, CA",2.316153363,property,2
1999,"Oakland, CA","Oakland, CA","Oakland, CA",2.958762887,property,1
1999,"Washington, DC","Washington, DC","Washington, DC",3.197461213,property,0
2000,"Seattle, WA","Seattle, WA","Seattle, WA",1.857933579,property,4
2000,"Long Beach, CA","Long Beach, CA","Long Beach, CA",1.885428254,property,3
2000,"Oakland, CA","Oakland, CA","Oakland, CA",1.955183341,property,2
2000,"Los Angeles, CA","Los Angeles, CA","Los Angeles, CA",1.999431495,property,1
2000,"Washington, DC","Washington, DC","Washington, DC",2.798340779,property,0
2001,"Long Beach, CA","Long Beach, CA","Long Beach, CA",1.582379293,property,4
2001,"Portland, OR","Portland, OR","Portland, OR",1.59100958,property,3
2001,"Seattle, WA","Seattle, WA","Seattle, WA",1.679930796,property,2
2001,"Los Angeles, CA","Los Angeles, CA","Los Angeles, CA",1.682257245,property,1
2001,"Washington, DC","Washington, DC","Washington, DC",2.215559157,property,0
